Id,Name,Surname,City,OfficialEmail,Birthday,SSN
900680,Romolo,Marcelo,Santo Stefano Di Sante Marie,s900680@students.politu.it,1994-05-30,EU84353708
900681,Leila,Mazzanti,Ceto,s900681@students.politu.it,1994-05-31,TR31907399
900682,Prudenzia,Fiorentini,Rocca Corneta,s900682@students.politu.it,1994-05-31,KZ37332394
900683,Abramo,Trevisano,Borgata Casalotti,s900683@students.politu.it,1994-06-01,XV5605462
900684,Leonardo,Russo,Vialba,s900684@students.politu.it,1994-06-02,RM13368439
900685,Donatella,Padovano,Vermezzo,s900685@students.politu.it,1994-06-02,RJ85198671
900686,Livia,Costa,Collalto,s900686@students.politu.it,1994-06-04,PP57513814
900687,Fulvio,Costa,Piavon,s900687@students.politu.it,1994-06-06,BR63051824
900688,Salomone,Onio,Domicella,s900688@students.politu.it,1994-06-06,CW21759700
900689,Dalia,Romano,Sangineto Lido,s900689@students.politu.it,1994-06-08,RU90342621
900690,Bartolomeo,Lucchesi,Talsano,s900690@students.politu.it,1994-06-08,GS84940727
900691,Barnaba,Pisano,Saone,s900691@students.politu.it,1994-06-10,BE65511019
900692,Settimo,Fanucci,Rometta Marea,s900692@students.politu.it,1994-06-13,XX18847435
900693,Adelia,Pinto,Pezzolo,s900693@students.politu.it,1994-06-15,EV21133533
900694,Ubalda ,Sagese,Bella,s900694@students.politu.it,1994-06-17,DK83603128
900695,Ornella,Calabrese,Ligonchio,s900695@students.politu.it,1994-06-17,FO56887897
900696,Tiziana,Piccio,Futani,s900696@students.politu.it,1994-06-17,JR95195971
900697,Ausilio,DeRose,Bordonaro,s900697@students.politu.it,1994-06-19,YP86566928
900698,Christian,Lucciano,Rio Marina,s900698@students.politu.it,1994-06-21,KA30952253
900699,Tranquilla,Buccho,Iggio,s900699@students.politu.it,1994-06-22,AC7765296
900700,Aurelia,Rizzo,Poggio San Lorenzo,s900700@students.politu.it,1994-06-24,EJ26890022
900701,Algiso,Moretti,Stabbia,s900701@students.politu.it,1994-06-24,WM81057648
900702,Eliana,Pisani,Zelarino,s900702@students.politu.it,1994-06-25,DC93297428
900703,Giuliano,De Luca,Gallo Bolognese,s900703@students.politu.it,1994-06-25,IF70883970
900704,Regolo,Mazzi,Bologna,s900704@students.politu.it,1994-06-28,CK26969886
900705,Ennio,Lo Duca,Vilminore Di Scalve,s900705@students.politu.it,1994-06-30,JC40104079
900706,Ginevra,Napolitani,Villaraspa,s900706@students.politu.it,1994-07-02,OU92008752
900707,Battista,Palermo,Saltusio,s900707@students.politu.it,1994-07-03,OM16144416
900708,Sesto,Greco,Mongrando,s900708@students.politu.it,1994-07-03,WE99640857
900709,Stella,Pagnotto,Brusciano,s900709@students.politu.it,1994-07-07,PR9622059
900710,Fortunata,Rizzo,Castell'Arquato,s900710@students.politu.it,1994-07-09,XB44881251
900711,Delmo,Greece,Esperia,s900711@students.politu.it,1994-07-10,LK93796245
900712,Abelina,Lorenzo,Camurana,s900712@students.politu.it,1994-07-10,IO17751823
900713,Speranza,Beneventi,San Pietro,s900713@students.politu.it,1994-07-11,JV92783575
900714,Angelina,Pisano,Terenten,s900714@students.politu.it,1994-07-11,IO62234848
900715,Carmine,Calabrese,Linera,s900715@students.politu.it,1994-07-12,PO76578803
900716,Lucia,Siciliano,Mongardino,s900716@students.politu.it,1994-07-13,WB21185357
900717,Domenica,Bianchi,Colle Di Val D'Elsa,s900717@students.politu.it,1994-07-14,FU96647738
900718,Gandolfo,Trevisan,Sommariva Bosco,s900718@students.politu.it,1994-07-16,QD14303361
900719,Boris,Trevisan,Rosolina Mare,s900719@students.politu.it,1994-07-17,IS7766331
900720,Irene,Dellucci,Bedizzano,s900720@students.politu.it,1994-07-20,WM3986532
900721,Brancaleone,Greco,Cavedine,s900721@students.politu.it,1994-07-21,LV69935727
900722,Curzio,Conti,Pian Di Pieca,s900722@students.politu.it,1994-07-23,QJ81256503
900723,Adelmo,Fiorentino,Lesignano Palmia,s900723@students.politu.it,1994-07-23,HR80458872
900724,Viviano,Arcuri,Laccio,s900724@students.politu.it,1994-07-24,CN47772106
900725,Simonetta,Esposito,Nuvolato,s900725@students.politu.it,1994-07-24,XK22535555
900726,Berto,Rizzo,Tavernelle,s900726@students.politu.it,1994-07-26,BB77778925
900727,Angelo,Cattaneo,San Marco Roggiano Stazione,s900727@students.politu.it,1994-07-26,XE23063482
900728,Libero,Baresi,Prags,s900728@students.politu.it,1994-07-27,AI27365743
900729,Antonio,Sal,Talana,s900729@students.politu.it,1994-07-27,UP89361235
900730,Bellino,Lucchese,Lograto,s900730@students.politu.it,1994-07-28,QR40562291
900731,Baldassarre,Calabrese,Palermo,s900731@students.politu.it,1994-07-28,XM37478595
900732,Ferdinando,Esposito,Le Ville,s900732@students.politu.it,1994-07-30,TM90277694
900733,Maria Grazia,Mazzi,Montegrino Valtravaglia,s900733@students.politu.it,1994-07-30,ZA4803488
900734,Alice,Lori,Piegaro,s900734@students.politu.it,1994-08-04,TS51853408
900735,Alberta,Lo Duca,Alpepiana,s900735@students.politu.it,1994-08-06,AH84122741
900736,Guglielma,Li Fonti,San Fatucchio,s900736@students.politu.it,1994-08-06,YR92629048
900737,Marianna,Conti,Rocca D'Arce,s900737@students.politu.it,1994-08-06,DJ91353731
900738,Adalrico,Lombardo,Lussello,s900738@students.politu.it,1994-08-09,SE6838392
900739,Eustorgio,Zetticci,Semestene,s900739@students.politu.it,1994-08-10,FF80456906
900740,Calogero,Pagnotto,Carifi,s900740@students.politu.it,1994-08-10,JH15531343
900741,Geronimo,Udinese,Torretta,s900741@students.politu.it,1994-08-11,LJ19716803
900742,Tullia,Sal,Fiumata,s900742@students.politu.it,1994-08-11,MC94466004
900743,Nunzio,Moretti,Katharinaberg,s900743@students.politu.it,1994-08-12,OU60237991
900744,Diamante,Lorenzo,Cecchina Stazione,s900744@students.politu.it,1994-08-15,KC0976908
900745,Generosa,Lucchese,Perugia,s900745@students.politu.it,1994-08-17,CF60870441
900746,Gregorio,Davide,Pianoro Vecchio,s900746@students.politu.it,1994-08-18,JY35906155
900747,Prospero,Pugliesi,Notaresco,s900747@students.politu.it,1994-08-19,MN12580596
900748,Dorotea,Trevisan,Massa D'Albe,s900748@students.politu.it,1994-08-20,KI88291013
900749,Selene,Arcuri,Veniano,s900749@students.politu.it,1994-08-21,CV63944230
900750,Liberio,Siciliano,Montegrosso Di Cinaglio,s900750@students.politu.it,1994-08-22,WA59048566
900751,Nora,Iadanza,Bitritto,s900751@students.politu.it,1994-08-22,TP44386797
900752,Norma,Manna,Caprarica Del Capo,s900752@students.politu.it,1994-08-24,LU36788928
900753,Quintina,Mazzanti,Selargius,s900753@students.politu.it,1994-08-26,MK91701378
900754,Renato,Gallo,Morimondo,s900754@students.politu.it,1994-08-27,UR61476159
900755,Roberta,Trevisano,San Leonardo,s900755@students.politu.it,1994-08-28,AZ40344031
900756,Maria Pia,Onio,Dossobuono,s900756@students.politu.it,1994-08-28,TX45881931
900757,Amaranto,Ferri,Deliceto,s900757@students.politu.it,1994-08-28,CD88565419
900758,Paola,Manna,Villa Bartolomea,s900758@students.politu.it,1994-08-28,LZ99885746
900759,Teodata,Castiglione,Ariano Irpino Stazione,s900759@students.politu.it,1994-08-29,BZ19560693
900760,Elsa,Greco,Torino,s900760@students.politu.it,1994-08-30,YV54392832
900761,Valente,Boni,Strona,s900761@students.politu.it,1994-08-30,TW42537507
900762,Gerolamo,Colombo,Basiano,s900762@students.politu.it,1994-09-01,YC75368055
900763,Crispino,Palermo,San Bartolomeo In Bosco,s900763@students.politu.it,1994-09-01,UT40933606
900764,Ivan,Sabbatini,Afing,s900764@students.politu.it,1994-09-02,ZC42546494
900765,Ilario,Marchesi,Noto,s900765@students.politu.it,1994-09-04,MY6538473
900766,Catone,Pisano,Caprie,s900766@students.politu.it,1994-09-05,AW15869846
900767,Bonacata,Cattaneo,Avio,s900767@students.politu.it,1994-09-06,NO0545868
900768,Carolina,Lucciano,Spotorno,s900768@students.politu.it,1994-09-06,RQ22769848
900769,Angela,Fanucci,Mapello,s900769@students.politu.it,1994-09-08,FA27401203
900770,Gerardino,Angelo,La Storta,s900770@students.politu.it,1994-09-08,HF76161399
900771,Igor,Gallo,Roncola,s900771@students.politu.it,1994-09-09,FT50635255
900772,Natale,Arcuri,San Michele Di Pratola Serra,s900772@students.politu.it,1994-09-11,KI34197074
900773,Enrica,Greece,Sant'Ermete,s900773@students.politu.it,1994-09-11,OC38921375
900774,Chiara,Cocci,Migliarina,s900774@students.politu.it,1994-09-12,CO0207826
900775,Ortensio,Lorenzo,Genova,s900775@students.politu.it,1994-09-15,GL83492684
900776,Penelope,Fallaci,Lessolo,s900776@students.politu.it,1994-09-15,HX16198328
900777,Tamara,Lori,Villa San Giovanni In Tuscia,s900777@students.politu.it,1994-09-16,CV87944190
900778,Taziana,Greece,Varzi,s900778@students.politu.it,1994-09-17,MY50302173
900779,Beatrice,Dellucci,Lama Di Setta,s900779@students.politu.it,1994-09-19,HC52063628
900780,Elia,Romani,Niella Tanaro,s900780@students.politu.it,1994-09-22,NO86870128
900781,Virginio,Piazza,Borgo Cervaro,s900781@students.politu.it,1994-09-23,YQ11529846
900782,Gilda,Palerma,Marina Di Fuscaldo,s900782@students.politu.it,1994-09-23,UW96214392
900783,Irene,Romano,Sant'Andrea Bonagia,s900783@students.politu.it,1994-09-23,GL78364789
900784,Liviana,Romani,Fagagna,s900784@students.politu.it,1994-09-26,OT27041849
900785,Geraldo,Bianchi,Belluno,s900785@students.politu.it,1994-09-26,CC69860424
900786,Maria Teresa,Zito,Cavazzana,s900786@students.politu.it,1994-09-29,SO38478263
900787,Giada,Calabrese,Villaregia,s900787@students.politu.it,1994-09-29,PK73958398
900788,Ninfa,Sagese,Vols am Schlern,s900788@students.politu.it,1994-10-01,ZJ13935514
900789,Ilda,Pagnotto,Carbonara Di Po,s900789@students.politu.it,1994-10-02,MX43187837
900790,Romeo,Bergamaschi,Borgo Fornari,s900790@students.politu.it,1994-10-02,NY71113594
900791,Prisco,Padovesi,Cotignola,s900791@students.politu.it,1994-10-04,LG44592345
900792,Margherita,Marchesi,Vallenoncello,s900792@students.politu.it,1994-10-11,SG94614489
900793,Erminia,Fallaci,San Pietro Monterosso,s900793@students.politu.it,1994-10-11,OI77135446
900794,Severo,Palerma,Bultei,s900794@students.politu.it,1994-10-13,QN43012505
900795,Brunilde,Esposito,Valmontone,s900795@students.politu.it,1994-10-13,VA56326640
900796,Cino,Sagese,Ponte Zanano,s900796@students.politu.it,1994-10-13,MD38296498
900797,Piero,Lori,Ardenno,s900797@students.politu.it,1994-10-14,GN85907722
900798,Aiace,Ricci,Ca' Dolfin,s900798@students.politu.it,1994-10-15,KF70154672
900799,Taziano,Piccio,Marina Di San Vito,s900799@students.politu.it,1994-10-15,CD38266163
900800,Ivana,Lettiere,Madonna Di Campiglio,s900800@students.politu.it,1994-10-18,CD85954350
900801,Dolcelino,Cocci,Ponte Di Savignone,s900801@students.politu.it,1994-10-19,TK42648636
900802,Verdiana,Onio,Ponte Di Verzuno,s900802@students.politu.it,1994-10-19,SL49995560
900803,Benedetto,Pagnotto,Rispescia,s900803@students.politu.it,1994-10-19,DA7603101
900804,Manuele,Lettiere,Monte Di Procida,s900804@students.politu.it,1994-10-20,ZD69931633
900805,Fioretta,Zito,Breuil Cervinia,s900805@students.politu.it,1994-10-20,WZ81899297
900806,Olimpia,Padovesi,Osulai,s900806@students.politu.it,1994-10-23,AE99460815
900807,Arianna,Colombo,Fontanelle,s900807@students.politu.it,1994-10-25,GM82767316
900808,Regina,Ferrari,Quartu Sant'Elena,s900808@students.politu.it,1994-10-26,JR97201776
900809,Guendalina,Trevisano,Dare,s900809@students.politu.it,1994-10-28,HR7086164
900810,Vanna,Bianchi,Fornaci,s900810@students.politu.it,1994-10-29,CW22241313
900811,Eufrosina,Ferrari,Volser Aicha,s900811@students.politu.it,1994-10-29,EJ10594306
900812,Germana,Udinese,Arce,s900812@students.politu.it,1994-10-30,LF61362835
900813,Timotea,Lucchesi,Staletti,s900813@students.politu.it,1994-11-01,GG45202008
900814,Licia,Genovese,Ripa,s900814@students.politu.it,1994-11-02,AT55583647
900815,Ambra,Iadanza,Bellinzago Lombardo,s900815@students.politu.it,1994-11-03,VF8238617
900816,Generoso,Piazza,Trebbio,s900816@students.politu.it,1994-11-03,ER6457918
900817,Nunzio,Li Fonti,Rocca Imperiale,s900817@students.politu.it,1994-11-03,DQ77401098
900818,Vera,Udinese,Firenze,s900818@students.politu.it,1994-11-04,OQ62239975
900819,Cirilla,Lucchesi,Maserno,s900819@students.politu.it,1994-11-05,PQ72862877
900820,Athos,Endrizzi,Anacapri,s900820@students.politu.it,1994-11-06,LA82378386
900821,Olga,Romano,Quinzanello,s900821@students.politu.it,1994-11-08,ZD25508334
900822,Renzo,Schiavone,Barbarasco,s900822@students.politu.it,1994-11-11,LA41338378
900823,Aristide,Fiorentino,Morsasco,s900823@students.politu.it,1994-11-11,XS63921723
900824,Delfino,Onio,Capugnano,s900824@students.politu.it,1994-11-11,KP2631571
900825,Paola,Cremonesi,Godi,s900825@students.politu.it,1994-11-12,TD57362021
900826,Andrea,Capon,Maratea Porto,s900826@students.politu.it,1994-11-12,SB19159656
900827,Viviano,Pagnotto,Cerbara,s900827@students.politu.it,1994-11-13,XR7099675
900828,Natalino,Capon,Malamocco,s900828@students.politu.it,1994-11-13,KN45781996
900829,Italo,Milano,Mandria,s900829@students.politu.it,1994-11-14,VO94972809
900830,Galdino,Colombo,Albaretto Della Torre,s900830@students.politu.it,1994-11-19,NT30742355
900831,Nilde,Trentino,La Spezia,s900831@students.politu.it,1994-11-21,AV15618011
900832,Donato,Gallo,San Biagio,s900832@students.politu.it,1994-11-21,UU59041842
900833,Francesca,Lucchese,Sora,s900833@students.politu.it,1994-11-22,BF14375612
900834,Aloisia,Greece,Pollone,s900834@students.politu.it,1994-11-24,EP25728785
900835,Azzurra,Dellucci,Montesicuro,s900835@students.politu.it,1994-11-25,IJ14818891
900836,Lionella,Bergamaschi,Luco Dei Marsi,s900836@students.politu.it,1994-11-29,TD47954839
900837,Vitale,Napolitani,Mulino,s900837@students.politu.it,1994-11-30,XH62415494
900838,Venanzio,Monaldo,Villetta Sant'Antonio,s900838@students.politu.it,1994-12-01,LK17286839
900839,Espedito,Napolitano,Isernia,s900839@students.politu.it,1994-12-01,DI60124681
900840,Fausta,Ferri,Agromonte,s900840@students.politu.it,1994-12-02,EK86535331
900841,Dionisio,Gallo,Piacenza D'Adige,s900841@students.politu.it,1994-12-07,VL73809229
900842,Gildo,Cattaneo,Scerni,s900842@students.politu.it,1994-12-09,KY80470287
900843,Santina,Genovesi,Scopoli,s900843@students.politu.it,1994-12-10,IJ80800895
900844,Lidia,Manna,Collepepe,s900844@students.politu.it,1994-12-11,XZ73853313
900845,Annibale,Endrizzi,Torino,s900845@students.politu.it,1994-12-14,ZX5955067
900846,Eberardo,Russo,Tancau,s900846@students.politu.it,1994-12-16,TE23796769
900847,Ausonia,Toscano,La Spezia,s900847@students.politu.it,1994-12-16,MQ24799523
900848,Fortunata,Bruno,Cava,s900848@students.politu.it,1994-12-17,YV18640716
900849,Italo,Conti,Chiaiano Ed Uniti,s900849@students.politu.it,1994-12-18,MP39146445
900850,Nestore,Iadanza,Casaprota,s900850@students.politu.it,1994-12-18,DY14576896
900851,Terzo,Marino,Giovo Ligure,s900851@students.politu.it,1994-12-20,DD66065323
900852,Dora,Schiavone,Megliadino San Vitale,s900852@students.politu.it,1994-12-20,NY56261665
900853,Galeazzo,Padovesi,Sasso Morelli,s900853@students.politu.it,1994-12-21,JW5829116
900854,Geremia,De Luca,Lupazzano,s900854@students.politu.it,1994-12-22,PX67460513
900855,Sofia,Lucchesi,Saletto,s900855@students.politu.it,1994-12-23,IF13417701
900856,Fosco,Fallaci,Caccuri,s900856@students.politu.it,1994-12-23,IC89666269
900857,Attilio,Pinto,Foiano Della Chiana,s900857@students.politu.it,1994-12-23,KT46915447
900858,Benigno,Udinesi,Libertinia,s900858@students.politu.it,1994-12-23,PW64912626
900859,Fausta,Esposito,Castelgrande,s900859@students.politu.it,1994-12-24,RU96059452
900860,Frediano,Lucciano,Mulazzo,s900860@students.politu.it,1994-12-25,DX52929132
900861,Ella,Marino,Lido Di Savio,s900861@students.politu.it,1994-12-26,GM7325599
900862,Isacco,Esposito,Serra Di Pratola Serra,s900862@students.politu.it,1994-12-27,QV47387172
900863,Gherardo,Mancini,Roccaspromonte,s900863@students.politu.it,1994-12-28,MK91008221
900864,Eustorgio,Pisano,Carpi,s900864@students.politu.it,1994-12-29,EU12646206
900865,Clizia,Napolitano,Prascorsano,s900865@students.politu.it,1994-12-31,YV43630400
900866,Quartilla ,Cremonesi,Cala Ginepro,s900866@students.politu.it,1995-01-01,SJ63852667
900867,Luana,Mancini,Caselle Torinese,s900867@students.politu.it,1995-01-04,HN90311949
900868,Durante,Palerma,Celleno,s900868@students.politu.it,1995-01-04,TF91891323
900869,Lavinia,Li Fonti,Centrache,s900869@students.politu.it,1995-01-05,PG2123944
900870,Flavia,Padovano,San Quirico In Val Polcevera,s900870@students.politu.it,1995-01-06,AC55525662
900871,Davide,Nucci,Poggio Imperiale,s900871@students.politu.it,1995-01-09,HR57672363
900872,Teresio,Castiglione,Nichelino,s900872@students.politu.it,1995-01-10,ZL92117640
900873,Bartolomeo,De Luca,Mezzana,s900873@students.politu.it,1995-01-10,FV10975591
900874,Maria Rosa,Palerma,Badalucco,s900874@students.politu.it,1995-01-10,NY59037180
900875,Abelina,Siciliani,Rimasco,s900875@students.politu.it,1995-01-11,TR63392042
900876,Alvisa,Lettiere,Landiona,s900876@students.politu.it,1995-01-12,DJ22133969
900877,Gabriella ,Sal,Palazzo Canavese,s900877@students.politu.it,1995-01-16,WN59277150
900878,Remo,Marchesi,Montereggio Di Mulazzo,s900878@students.politu.it,1995-01-17,IH1523432
900879,Melissa,Lori,Figline Di Prato,s900879@students.politu.it,1995-01-18,ZY48023799
900880,Costante,Napolitano,Arona,s900880@students.politu.it,1995-01-19,UZ88600176
900881,Olinto,Pagnotto,Polaveno,s900881@students.politu.it,1995-01-20,GM82488697
900882,Napoleone,Napolitani,Pionca,s900882@students.politu.it,1995-01-21,WR5964828
900883,Fiorenza,Trevisano,Cutigliano,s900883@students.politu.it,1995-01-22,SZ51453830
900884,Licia,Rizzo,Iavre' Vigo Rendena,s900884@students.politu.it,1995-01-22,YI28169079
900885,Armida,Sagese,San Marino,s900885@students.politu.it,1995-01-23,TW94743119
900886,Anselmo,Folliero,Catania,s900886@students.politu.it,1995-01-25,DK22676442
900887,Ortensio,Marino,Forchia,s900887@students.politu.it,1995-01-25,RW19229798
900888,Lionello,Lucchesi,San Giacomo Degli Schiavoni,s900888@students.politu.it,1995-01-26,WP67342119
900889,Simona,Milani,Castel Di Lucio,s900889@students.politu.it,1995-01-26,EF63627202
900890,Albano,Romani,Norma,s900890@students.politu.it,1995-01-27,ZL12068337
900891,Olga,Siciliani,Sitizano,s900891@students.politu.it,1995-01-27,RN85239327
900892,Fabiola,Trevisani,Mosso Santa Maria,s900892@students.politu.it,1995-01-28,EW35960639
900893,Anselma,Udinese,Stilfs,s900893@students.politu.it,1995-01-31,DC20568757
900894,Placido,Udinese,Mosnigo,s900894@students.politu.it,1995-02-02,RX91873284
900895,Camilla,Greco,Zianigo,s900895@students.politu.it,1995-02-07,NW42008143
900896,Proserpina,Schiavone,Milano,s900896@students.politu.it,1995-02-09,ZS59745830
900897,Itala,Palerma,Vernole,s900897@students.politu.it,1995-02-12,JB57851615
900898,Albertino,Davide,Pozzaglia Sabino,s900898@students.politu.it,1995-02-13,CQ50865777
900899,Dimitri,Romano,Suello,s900899@students.politu.it,1995-02-14,KE63372310
900900,Marina,Trevisano,Santa Maria La Stella,s900900@students.politu.it,1995-02-15,OL10445718
900901,Irmina,Fiorentini,Cella Dati,s900901@students.politu.it,1995-02-16,NU26254785
900902,Callimaco,Fiorentino,Martone,s900902@students.politu.it,1995-02-16,US62346233
900903,Giulio,Lori,Pieve Santa Luce,s900903@students.politu.it,1995-02-17,ZI38588983
900904,Ludovica,Russo,Focette,s900904@students.politu.it,1995-02-17,MH53681402
900905,Romano,Mazzi,Mariana Mantovana,s900905@students.politu.it,1995-02-21,QT12125217
900906,Greta,Schiavone,Ginosa,s900906@students.politu.it,1995-02-22,VT23596944
900907,Fernanda,Toscano,Santeramo In Colle,s900907@students.politu.it,1995-02-28,WK31681625
900908,Alma,Lettiere,Antholz,s900908@students.politu.it,1995-03-01,XB41872705
900909,Salvo,Padovano,Siror,s900909@students.politu.it,1995-03-02,GB26042967
900910,Vincenza,Lucchesi,San Quirico,s900910@students.politu.it,1995-03-04,WU81159580
900911,Enrico,Monaldo,Bianzone,s900911@students.politu.it,1995-03-04,PA63101614
900912,Crescenzo,Bergamaschi,Gargnano,s900912@students.politu.it,1995-03-04,LY30890451
900913,Savino,Manna,Pratomorone,s900913@students.politu.it,1995-03-05,SR67779298
900914,Quintiliano,Pinto,Perledo,s900914@students.politu.it,1995-03-06,ZM26613057
900915,Beata,Greece,Remanzacco,s900915@students.politu.it,1995-03-06,DD58929208
900916,Prisco,Ricci,Cesa,s900916@students.politu.it,1995-03-07,IA16125737
900917,Merico,Lori,Marina Di Fuscaldo,s900917@students.politu.it,1995-03-08,ZY91992993
900918,Virginia,Sabbatini,Veniano,s900918@students.politu.it,1995-03-09,EJ19433939
900919,Affiano,Costa,Vagliagli,s900919@students.politu.it,1995-03-09,AN71699600
900920,Benilde,Fiorentini,Tabiano,s900920@students.politu.it,1995-03-09,UR40142316
900921,Alfonsa,Zito,San Paolo Di Noto,s900921@students.politu.it,1995-03-12,ZT20192579
900922,Bellino,Barese,Eupilio,s900922@students.politu.it,1995-03-12,KX48708045
900923,Maria Rosa,Cocci,Rubiana,s900923@students.politu.it,1995-03-15,MX8577589
900924,Aleardo,Castiglione,Poggio Menatico,s900924@students.politu.it,1995-03-15,LY47413821
900925,Raul,Lucciano,Pontasserchio,s900925@students.politu.it,1995-03-19,FA10804970
900926,Edmondo,Siciliano,San Biagio,s900926@students.politu.it,1995-03-22,HS90386432
900927,Fosco,Cocci,Rifreddo Di Saluzzo,s900927@students.politu.it,1995-03-22,UJ98238668
900928,Olimpia,Ferri,Tramatza,s900928@students.politu.it,1995-03-22,EW25401163
900929,Proserpina,Napolitani,Castelfirmiano,s900929@students.politu.it,1995-03-24,IK17244239
900930,Arsenio,Pisani,Ancona,s900930@students.politu.it,1995-03-25,AC91105040
900931,Angelica,Russo,Oldenico,s900931@students.politu.it,1995-03-28,EJ44700671
900932,Raffaele,Padovesi,Fragneto L'Abate,s900932@students.politu.it,1995-03-29,DJ8458785
900933,Berenice,Sabbatini,Scopello,s900933@students.politu.it,1995-04-02,WP33545224
900934,Basilio,Milani,Villa San Martino,s900934@students.politu.it,1995-04-04,GS75435290
900935,Elisa,Piazza,Rubiera,s900935@students.politu.it,1995-04-06,LH94714817
900936,Giulio,Barese,Pedrengo,s900936@students.politu.it,1995-04-07,SL48985061
900937,Viviana,Lucchese,Acquavella,s900937@students.politu.it,1995-04-09,HY88999090
900938,Dina,Lori,Masone,s900938@students.politu.it,1995-04-11,CY58711618
900939,Gabriella ,Costa,Velva,s900939@students.politu.it,1995-04-15,OR45581977
900940,Isotta,Fiorentini,Brembate,s900940@students.politu.it,1995-04-15,KV91264898
900941,Brunilde,Trentino,Brunico,s900941@students.politu.it,1995-04-16,IT25343287
900942,Bellino,Lucchesi,Villammare,s900942@students.politu.it,1995-04-17,TV20876203
900943,Adelmo,Calabrese,Castelletto Molina,s900943@students.politu.it,1995-04-20,ZD53281559
900944,Renato,Folliero,Scontrone,s900944@students.politu.it,1995-04-20,CN7227728
900945,Agata,Li Fonti,Vezzano,s900945@students.politu.it,1995-04-21,AY79165282
900946,Alfonsa,Pinto,Dorno,s900946@students.politu.it,1995-04-21,VQ74611961
900947,Luisa,Manna,Rezzo,s900947@students.politu.it,1995-04-23,ET51481171
900948,Ivan,Buccho,Santa Domenica Ricadi,s900948@students.politu.it,1995-04-24,KV39829154
900949,Alfredo,Mancini,Sospiro,s900949@students.politu.it,1995-04-25,MK63428442
900950,Fedele,Esposito,Auditore,s900950@students.politu.it,1995-04-26,GW29021183
900951,Dario,Folliero,Pavarolo,s900951@students.politu.it,1995-04-27,RS20975896
900952,Carlo,Nucci,Piano Di Sorrento,s900952@students.politu.it,1995-04-29,ZT24387252
900953,Annibale,Ferri,Montorsaio,s900953@students.politu.it,1995-05-02,DF48102719
900954,Miranda,Palermo,Glurns,s900954@students.politu.it,1995-05-04,BR79861991
900955,Emma,Mancini,Albe,s900955@students.politu.it,1995-05-04,MG30202852
900956,Irma,Trentini,Grandate,s900956@students.politu.it,1995-05-08,VE70046531
900957,Agatino,Zito,Pineta Di Sortenna Vallesana,s900957@students.politu.it,1995-05-08,XT78254232
900958,Fernanda,Pisani,Castelchiodato,s900958@students.politu.it,1995-05-11,RS56870390
900959,Palmiro,Boni,Santa Vittoria Di Libiola,s900959@students.politu.it,1995-05-12,KO1672523
900960,Placido,Lorenzo,Soranzen,s900960@students.politu.it,1995-05-12,WJ46822538
900961,Irene,Trevisani,San Pietro Del Gallo,s900961@students.politu.it,1995-05-13,CO65859803
900962,Cassio,Siciliani,Guardea,s900962@students.politu.it,1995-05-14,IU84993478
900963,Alfredina,Milano,Sasso D'Ombrone,s900963@students.politu.it,1995-05-19,PI94815117
900964,Aristide,Toscano,Albano Laziale,s900964@students.politu.it,1995-05-20,PX1296369
900965,Edgardo,Lombardo,Sant'Agata,s900965@students.politu.it,1995-05-21,MU97114208
900966,Secondo,Gallo,Sant'Andrea,s900966@students.politu.it,1995-05-23,NZ72667297
900967,Boris,Marchesi,Fiamenga,s900967@students.politu.it,1995-05-25,TT24818236
900968,Quintino,Udinese,San Vito Sullo Jonio,s900968@students.politu.it,1995-05-25,ST0943609
900969,Ruggero,Panicucci,Roma,s900969@students.politu.it,1995-05-29,TK55441613
900970,Dalila,Rossi,Ognio,s900970@students.politu.it,1995-05-31,YC66871185
900971,Colombano,Romano,Guardiaregia,s900971@students.politu.it,1995-06-01,QY67693762
900972,Liberato,Pugliesi,Rogolo,s900972@students.politu.it,1995-06-04,YC33814899
900973,Dolcelino,Costa,Ripaberarda,s900973@students.politu.it,1995-06-06,XM48339706
900974,Casimiro,Romano,Verchiano,s900974@students.politu.it,1995-06-06,YE78495001
900975,Fortunato,Lori,Assago,s900975@students.politu.it,1995-06-06,QP1111794
900976,Cornelio,Boni,Marsala,s900976@students.politu.it,1995-06-07,AR95202633
900977,Alberto,Loggia,Maccagno,s900977@students.politu.it,1995-06-07,DS11913468
900978,Carola,Palerma,Gasperina,s900978@students.politu.it,1995-06-07,PH57921265
900979,Quinzia,Mazzanti,Guidomandri,s900979@students.politu.it,1995-06-07,YT16714153
900980,Luigia,Fiorentino,Castell'Alfero,s900980@students.politu.it,1995-06-08,MB20058968
900981,Orsola,Rossi,San Benedetto Val Di Sambro,s900981@students.politu.it,1995-06-10,YH50821227
900982,Maura,Gallo,Monterosso,s900982@students.politu.it,1995-06-11,TY69469729
900983,Quintiliano,Marcelo,Pezzolo,s900983@students.politu.it,1995-06-12,PA73218168
900984,Mara,Manna,Sorgono,s900984@students.politu.it,1995-06-13,CL80712052
900985,Marcella,Mazzi,Caglio,s900985@students.politu.it,1995-06-14,WO51114953
900986,Cornelio,Pagnotto,Castiglione Della Pescaia,s900986@students.politu.it,1995-06-16,PL54833330
900987,Maurizio,Endrizzi,Casez,s900987@students.politu.it,1995-06-16,RF29917486
900988,Italo,Bergamaschi,San Piero A Grado,s900988@students.politu.it,1995-06-21,AL43176622
